page,pkg_name,apkfile_name,download,apk_link,manifest_permission
1,io.faceapp,FaceApp-11.5.0.apk,Done,https://apkcombo.com/faceapp/io.faceapp/download/apk,"android.permission.INTERNET
android.permission.ACCESS_NETWORK_STATE
android.permission.POST_NOTIFICATIONS
android.permission.READ_MEDIA_IMAGES
android.permission.READ_MEDIA_VIDEO
android.permission.READ_EXTERNAL_STORAGE
android.permission.WRITE_EXTERNAL_STORAGE
android.permission.ACCESS_WIFI_STATE
android.permission.WAKE_LOCK
com.google.android.c2dm.permission.RECEIVE
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
com.google.android.gms.permission.AD_ID
android.permission.RECEIVE_BOOT_COMPLETED
android.permission.FOREGROUND_SERVICE
io.faceapp.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION
com.android.vending.BILLING"
1,com.camerasideas.instashot,InShot-1.922.1401.apk,Done,https://apkcombo.com/inshot/com.camerasideas.instashot/download/apk,"android.permission.WRITE_EXTERNAL_STORAGE
android.permission.INTERNET
android.permission.ACCESS_NETWORK_STATE
android.permission.WAKE_LOCK
com.google.android.apps.photos.permission.GOOGLE_PHOTOS
com.google.android.providers.gsf.permission.READ_GSERVICES
com.android.vending.BILLING
android.permission.RECORD_AUDIO
android.permission.FOREGROUND_SERVICE
android.permission.READ_EXTERNAL_STORAGE
com.google.android.gms.permission.AD_ID
com.applovin.array.apphub.permission.BIND_APPHUB_SERVICE
android.permission.ACCESS_WIFI_STATE
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
android.permission.RECEIVE_BOOT_COMPLETED"
1,com.vsco.cam,VSCO-318.apk,Done,https://apkcombo.com/vsco/com.vsco.cam/download/apk,"android.permission.ACCESS_NETWORK_STATE
android.permission.ACCESS_WIFI_STATE
android.permission.INTERNET
com.android.vending.BILLING
com.google.android.providers.gsf.permission.READ_GSERVICES
android.permission.WAKE_LOCK
com.google.android.c2dm.permission.RECEIVE
android.permission.VIBRATE
com.android.vending.CHECK_LICENSE
android.permission.GET_ACCOUNTS
android.permission.ACCESS_FINE_LOCATION
android.permission.WRITE_EXTERNAL_STORAGE
android.permission.READ_EXTERNAL_STORAGE
android.permission.READ_CONTACTS
android.permission.ACCESS_COARSE_LOCATION
android.permission.ACCESS_MEDIA_LOCATION
android.permission.CAMERA
android.permission.RECORD_AUDIO
com.google.android.gms.permission.AD_ID
android.permission.FOREGROUND_SERVICE
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
android.permission.RECEIVE_BOOT_COMPLETED"
1,com.google.android.GoogleCamera,Google-Camera-8.8.224.520435764.11.apk,Done,https://apkcombo.com/google-camera/com.google.android.GoogleCamera/download/apk,"android.permission.FOREGROUND_SERVICE
android.permission.ACCESS_COARSE_LOCATION
android.permission.ACCESS_FINE_LOCATION
android.permission.ACCESS_NETWORK_STATE
android.permission.ACCESS_NOTIFICATION_POLICY
android.permission.ACCESS_WIFI_STATE
android.permission.CAMERA
android.permission.CHANGE_WIFI_STATE
android.permission.INTERNET
android.permission.GET_PACKAGE_SIZE
android.permission.MODIFY_AUDIO_SETTINGS
android.permission.NFC
android.permission.READ_SYNC_SETTINGS
android.permission.RECEIVE_BOOT_COMPLETED
android.permission.RECORD_AUDIO
android.permission.USE_CREDENTIALS
android.permission.VIBRATE
android.permission.WAKE_LOCK
android.permission.READ_EXTERNAL_STORAGE
android.permission.READ_MEDIA_IMAGES
android.permission.READ_MEDIA_VIDEO
android.permission.WRITE_SETTINGS
android.permission.WRITE_SYNC_SETTINGS
com.google.android.providers.gsf.permission.READ_GSERVICES
android.permission.HIGH_SAMPLING_RATE_SENSORS
android.permission.INSTALL_PACKAGE_UPDATES"
1,com.prequel.app,PREQUEL-1.63.1.apk,Done,https://apkcombo.com/prequel/com.prequel.app/download/apk,"android.permission.INTERNET
android.permission.ACCESS_NETWORK_STATE
android.permission.CAMERA
android.permission.VIBRATE
android.permission.RECORD_AUDIO
android.permission.WRITE_EXTERNAL_STORAGE
android.permission.READ_EXTERNAL_STORAGE
android.permission.READ_MEDIA_IMAGES
android.permission.READ_MEDIA_VIDEO
android.permission.POST_NOTIFICATIONS
com.android.vending.BILLING
com.google.android.gms.permission.AD_ID
android.permission.WAKE_LOCK
android.permission.READ_MEDIA_AUDIO
com.prequel.app.permission.C2D_MESSAGE
com.google.android.c2dm.permission.RECEIVE
android.permission.RECEIVE_BOOT_COMPLETED
com.sec.android.provider.badge.permission.READ
com.sec.android.provider.badge.permission.WRITE
com.htc.launcher.permission.READ_SETTINGS
com.htc.launcher.permission.UPDATE_SHORTCUT
com.sonyericsson.home.permission.BROADCAST_BADGE
com.sonymobile.home.permission.PROVIDER_INSERT_BADGE
com.anddoes.launcher.permission.UPDATE_COUNT
com.majeur.launcher.permission.UPDATE_BADGE
com.huawei.android.launcher.permission.CHANGE_BADGE
com.huawei.android.launcher.permission.READ_SETTINGS
com.huawei.android.launcher.permission.WRITE_SETTINGS
android.permission.READ_APP_BADGE
com.oppo.launcher.permission.READ_SETTINGS
com.oppo.launcher.permission.WRITE_SETTINGS
me.everything.badger.permission.BADGE_COUNT_READ
me.everything.badger.permission.BADGE_COUNT_WRITE
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
android.permission.FOREGROUND_SERVICE
com.prequel.app.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION"
1,com.adobe.lrmobile,Lightroom-8.3.2.apk,Done,https://apkcombo.com/lightroom/com.adobe.lrmobile/download/apk,"android.permission.INTERNET
android.permission.ACCESS_NETWORK_STATE
android.permission.READ_EXTERNAL_STORAGE
android.permission.WRITE_EXTERNAL_STORAGE
com.android.vending.BILLING
android.permission.RECEIVE_BOOT_COMPLETED
android.permission.ACCESS_WIFI_STATE
android.permission.FOREGROUND_SERVICE
android.permission.VIBRATE
android.permission.ACCESS_MEDIA_LOCATION
android.permission.READ_MEDIA_IMAGES
android.permission.READ_MEDIA_VIDEO
android.permission.POST_NOTIFICATIONS
 com.google.android.gms.permission.AD_ID
android.permission.CAMERA
android.permission.ACCESS_COARSE_LOCATION
android.permission.ACCESS_FINE_LOCATION
com.samsung.android.iap.permission.BILLING
android.permission.WAKE_LOCK
com.google.android.c2dm.permission.RECEIVE
com.google.android.gms.permission.AD_ID
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE"
1,com.linecorp.b612.android,B612-12.1.10.apk,Done,https://apkcombo.com/b612/com.linecorp.b612.android/download/apk,"com.android.vending.BILLING
android.permission.ACCESS_MEDIA_LOCATION
android.permission.WRITE_EXTERNAL_STORAGE
android.permission.FLASHLIGHT
android.permission.ACCESS_WIFI_STATE
android.permission.ACCESS_NETWORK_STATE
android.permission.ACCESS_FINE_LOCATION
android.permission.ACCESS_COARSE_LOCATION
android.permission.READ_EXTERNAL_STORAGE
android.permission.RECORD_AUDIO
android.permission.CAMERA
android.permission.INTERNET
android.permission.VIBRATE
android.permission.GET_TASKS
android.permission.WAKE_LOCK
com.sonymobile.home.permission.PROVIDER_INSERT_BADGE
com.huawei.android.launcher.permission.CHANGE_BADGE
com.android.vending.CHECK_LICENSE
com.google.android.gms.permission.AD_ID
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
android.permission.RECEIVE_BOOT_COMPLETED
android.permission.FOREGROUND_SERVICE
com.google.android.c2dm.permission.RECEIVE
com.applovin.array.apphub.permission.BIND_APPHUB_SERVICE"
1,com.niksoftware.snapseed,Snapseed-2.20.0.527643230.apk,Done,https://apkcombo.com/snapseed/com.niksoftware.snapseed/download/apk,Static analysis failed!
1,photo.editor.polarr,Polarr-6.7.8.apk,Done,https://apkcombo.com/polarr/photo.editor.polarr/download/apk,"android.permission.READ_EXTERNAL_STORAGE
android.permission.INTERNET
android.permission.CAMERA
android.permission.USE_CREDENTIALS
android.permission.WRITE_EXTERNAL_STORAGE
android.permission.ACCESS_MEDIA_LOCATION
com.android.vending.BILLING
android.permission.ACCESS_NETWORK_STATE
android.permission.POST_NOTIFICATIONS
android.permission.WAKE_LOCK
com.google.android.c2dm.permission.RECEIVE
com.google.android.gms.permission.AD_ID
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE"
1,com.bigwinepot.nwdn.international,Remini-3.7.208.202195110.apk,Done,https://apkcombo.com/remini/com.bigwinepot.nwdn.international/download/apk,"android.permission.INTERNET
android.permission.READ_EXTERNAL_STORAGE
android.permission.WRITE_EXTERNAL_STORAGE
com.google.android.gms.permission.AD_ID
android.permission.ACCESS_NETWORK_STATE
android.permission.WAKE_LOCK
android.permission.FOREGROUND_SERVICE
com.applovin.array.apphub.permission.BIND_APPHUB_SERVICE
android.permission.ACCESS_WIFI_STATE
com.android.vending.BILLING
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
android.permission.REORDER_TASKS
com.bigwinepot.nwdn.international.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION"
