page,pkg_name,apkfile_name,download,apk_link,manifest_permission
1,com.arabela.mobile,Mi-Pedido-Arabela-1.51.apk,Done,https://apkcombo.com/mi-pedido-arabela/com.arabela.mobile/download/apk,"android.permission.INTERNET
android.permission.READ_EXTERNAL_STORAGE
android.permission.WRITE_EXTERNAL_STORAGE
android.permission.ACCESS_COARSE_LOCATION
android.permission.ACCESS_FINE_LOCATION
android.permission.ACCESS_NETWORK_STATE
android.permission.CAMERA
android.permission.RECORD_AUDIO
android.permission.MODIFY_AUDIO_SETTINGS
android.permission.RECEIVE_BOOT_COMPLETED
android.permission.WAKE_LOCK
com.google.android.c2dm.permission.RECEIVE
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE"
1,com.belleza.peinados.ninas,Easy-fun-hairstyles-for-girls-22.0.0.apk,Done,https://apkcombo.com/easy-fun-hairstyles-for-girls/com.belleza.peinados.ninas/download/apk,"android.permission.INTERNET
android.permission.ACCESS_WIFI_STATE
android.permission.ACCESS_NETWORK_STATE
android.permission.RECEIVE_BOOT_COMPLETED
android.permission.POST_NOTIFICATIONS
android.permission.WAKE_LOCK
com.google.android.c2dm.permission.RECEIVE
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
com.google.android.gms.permission.AD_ID
android.permission.FOREGROUND_SERVICE
com.android.vending.BILLING"
1,com.lajeuneandassociatesllc.barberchopdev,Barber-Chop-5.4.34.apk,Done,https://apkcombo.com/barber-chop/com.lajeuneandassociatesllc.barberchopdev/download/apk,"android.permission.INTERNET
android.permission.ACCESS_NETWORK_STATE
android.permission.CAMERA
android.permission.WAKE_LOCK
com.google.android.gms.permission.AD_ID
com.android.vending.BILLING
android.permission.FOREGROUND_SERVICE
android.permission.ACCESS_WIFI_STATE
android.permission.RECEIVE_BOOT_COMPLETED
com.applovin.array.apphub.permission.BIND_APPHUB_SERVICE
android.permission.WRITE_EXTERNAL_STORAGE
android.permission.READ_EXTERNAL_STORAGE"
1,com.preppywallpapersmileyfacedoaa.app,preppy-wallpaper-smiley-face-1.apk,Done,https://apkcombo.com/preppy-wallpaper-smiley-face/com.preppywallpapersmileyfacedoaa.app/download/apk,"android.permission.WRITE_SETTINGS
android.permission.INTERNET
android.permission.WRITE_EXTERNAL_STORAGE
android.permission.ACCESS_MEDIA_LOCATION
android.permission.WAKE_LOCK
android.permission.FOREGROUND_SERVICE
android.permission.CAMERA
android.permission.ACCESS_NETWORK_STATE
android.permission.ACCESS_WIFI_STATE
android.permission.RECEIVE_BOOT_COMPLETED
android.permission.BLUETOOTH
android.permission.Ad_ID
android.permission.REQUEST_INSTALL_PACKAGES
android.permission.READ_EXTERNAL_STORAGE
com.preppywallpapersmileyfacedoaa.app.permission.C2D_MESSAGE
com.google.android.c2dm.permission.RECEIVE
android.permission.VIBRATE
com.sec.android.provider.badge.permission.READ
com.sec.android.provider.badge.permission.WRITE
com.htc.launcher.permission.READ_SETTINGS
com.htc.launcher.permission.UPDATE_SHORTCUT
com.sonyericsson.home.permission.BROADCAST_BADGE
com.sonymobile.home.permission.PROVIDER_INSERT_BADGE
com.anddoes.launcher.permission.UPDATE_COUNT
com.majeur.launcher.permission.UPDATE_BADGE
com.huawei.android.launcher.permission.CHANGE_BADGE
com.huawei.android.launcher.permission.READ_SETTINGS
com.huawei.android.launcher.permission.WRITE_SETTINGS
android.permission.READ_APP_BADGE
com.oppo.launcher.permission.READ_SETTINGS
com.oppo.launcher.permission.WRITE_SETTINGS
me.everything.badger.permission.BADGE_COUNT_READ
me.everything.badger.permission.BADGE_COUNT_WRITE
com.google.android.gms.permission.AD_ID
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE"
1,trends.beauty.art.grime.art.photo.editor,Grime-Art-Photo-Editor-1.2.2020402.apk,Done,https://apkcombo.com/grime-art-photo-editor/trends.beauty.art.grime.art.photo.editor/download/apk,"android.permission.READ_EXTERNAL_STORAGE
android.permission.WRITE_EXTERNAL_STORAGE
android.permission.ACCESS_NETWORK_STATE
android.permission.INTERNET
android.permission.CAMERA
com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY"
1,com.arcsoft.perfect365,Perfect365-Makeup-Photo-Editor-9.31.10.apk,Done,https://apkcombo.com/perfect365-makeup-photo-editor/com.arcsoft.perfect365/download/apk,"android.permission.POST_NOTIFICATIONS
android.permission.READ_PHONE_STATE
android.permission.CAMERA
com.android.vending.BILLING
android.permission.CHANGE_WIFI_STATE
android.permission.INTERNET
android.permission.ACCESS_NETWORK_STATE
android.permission.ACCESS_WIFI_STATE
android.permission.CHANGE_NETWORK_STATE
android.permission.EXPAND_STATUS_BAR
android.permission.WRITE_EXTERNAL_STORAGE
android.permission.READ_EXTERNAL_STORAGE
android.permission.VIBRATE
android.permission.ACCESS_COARSE_LOCATION
android.permission.ACCESS_FINE_LOCATION
android.permission.ACCESS_BACKGROUND_LOCATION
android.permission.DISABLE_KEYGUARD
android.permission.BLUETOOTH
android.permission.BLUETOOTH_ADMIN
android.permission.READ_SYNC_STATS
android.permission.READ_SYNC_SETTINGS
android.permission.WRITE_SYNC_SETTINGS
android.permission.USE_CREDENTIALS
android.permission.AUTHENTICATE_ACCOUNTS
android.permission.BATTERY_STATS
android.permission.REORDER_TASKS
android.permission.GET_TASKS
com.google.android.providers.gsf.permission.READ_GSERVICES
android.permission.RECORD_AUDIO
com.google.android.gms.permission.ACTIVITY_RECOGNITION
com.android.alarm.permission.SET_ALARM
com.google.android.c2dm.permission.RECEIVE
android.permission.WAKE_LOCK
android.permission.FOREGROUND_SERVICE
com.google.android.gms.permission.AD_ID
android.permission.BLUETOOTH_SCAN
android.permission.BLUETOOTH_CONNECT
android.permission.BLUETOOTH_ADVERTISE
android.permission.FOREGROUND_SERVICE 
android.permission.READ_PRIVILEGED_PHONE_STATE
com.applovin.array.apphub.permission.BIND_APPHUB_SERVICE
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
com.arcsoft.perfect365.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION"
1,com.xface.beautymakeup.selfiecamera,XFace-2.1.1.apk,Done,https://apkcombo.com/xface/com.xface.beautymakeup.selfiecamera/download/apk,"android.permission.CAMERA
android.permission.INTERNET
android.permission.ACCESS_NETWORK_STATE
android.permission.READ_EXTERNAL_STORAGE
android.permission.WRITE_EXTERNAL_STORAGE
android.permission.RECORD_AUDIO
android.permission.CHANGE_WIFI_STATE
android.permission.CHANGE_NETWORK_STATE
android.permission.ACCESS_WIFI_STATE
com.android.vending.BILLING
com.google.android.gms.permission.AD_ID
android.permission.WAKE_LOCK
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
com.google.android.c2dm.permission.RECEIVE
android.permission.RECEIVE_BOOT_COMPLETED
android.permission.FOREGROUND_SERVICE"
1,com.lomographic.vintage.camera.filters,Camera-Filters-and-Effects-16.1.206.apk,Done,https://apkcombo.com/camera-filters-and-effects/com.lomographic.vintage.camera.filters/download/apk,"android.permission.VIBRATE
android.permission.ACCESS_NETWORK_STATE
android.permission.INTERNET
android.permission.WRITE_EXTERNAL_STORAGE
android.permission.READ_EXTERNAL_STORAGE
android.permission.ACCESS_MEDIA_LOCATION
com.android.vending.BILLING
android.permission.RECORD_AUDIO
android.permission.CAMERA
android.permission.ACCESS_WIFI_STATE
android.permission.WAKE_LOCK
com.google.android.c2dm.permission.RECEIVE
android.permission.POST_NOTIFICATIONS
com.google.android.gms.permission.AD_ID
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
android.permission.FOREGROUND_SERVICE
android.permission.RECEIVE_BOOT_COMPLETED
android.permission.READ_PHONE_STATE"
1,com.abdoogardgardii,-GBWhatsap--2.0.apk,Done,https://apkcombo.com/gbwhatsap/com.abdoogardgardii/download/apk,"android.permission.INTERNET
android.permission.ACCESS_NETWORK_STATE"
1,com.cuturls,cut-urls-1.0.apk,Done,https://apkcombo.com/cut-urls/com.cuturls/download/apk,"android.permission.INTERNET
android.permission.WRITE_EXTERNAL_STORAGE
android.permission.ACCESS_WIFI_STATE
android.permission.ACCESS_NETWORK_STATE
android.permission.RECEIVE_BOOT_COMPLETED
android.permission.WAKE_LOCK
android.permission.VIBRATE
android.permission.FLASHLIGHT"
